EXCH,SEGMENT,SECURITY_ID,INSTRUMENT_NAME,EXPIRY_CODE,TRADING_SYMBOL,LOT_UNITS,CUSTOM_SYMBOL,EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SERIES,SYMBOL_NAME
BSE,D,821059,OPTIDX,30 Jul 2026,FOCIT-30Jul2026-25500-PE,45,FOCIT 30 JUL 25500 PE,07/30/2026 14:00,25500.00000,PE,5,M,OPTIDX,,BITOPT
NSE,D,143230,OPTSTK,29 Sep 2026,RBLBANK-Sep2026-180-CE,3175,RBLBANK 29 SEP 180 CE,09/29/2026 14:00,180.00000,CE,5,M,OPTSTK,,
NSE,D,85335,OPTSTK,28 Jul 2026,CROMPTON-Jul2026-390-PE,2150,CROMPTON 28 JUL 390 PE,07/28/2026 14:00,390.00000,PE,5,M,OPTSTK,,
NSE,D,37613,OPTSTK,28 Jul 2026,OBEROIRLTY-Jul2026-2560-CE,350,OBEROIRLTY 28 JUL 2560 CE,07/28/2026 14:00,2560.00000,CE,5,M,OPTSTK,,
NSE,D,78812,OPTSTK,28 Jul 2026,BPCL-Jul2026-255-CE,1975,BPCL 28 JUL 255 CE,07/28/2026 14:00,255.00000,CE,5,M,OPTSTK,,
NSE,D,69553,OPTIDX,29 Sep 2026,BANKNIFTY-Sep2026-49300-PE,30,BANKNIFTY 29 SEP 49300 PE,09/29/2026 14:00,49300.00000,PE,5,M,OPTIDX,,
NSE,D,64321,OPTIDX,25 Aug 2026,NIFTYNXT50-Aug2026-63800-PE,25,NIFTYNXT50 25 AUG 63800 PE,08/25/2026 14:00,63800.00000,PE,5,M,OPTIDX,,
NSE,D,97145,OPTSTK,25 Aug 2026,GVT&D-Aug2026-3800-CE,125,GVT&D 25 AUG 3800 CE,08/25/2026 14:00,3800.00000,CE,5,M,OPTSTK,,
NSE,D,155170,OPTSTK,25 Aug 2026,TVSMOTOR-Aug2026-4700-CE,175,TVSMOTOR 25 AUG 4700 CE,08/25/2026 14:00,4700.00000,CE,5,M,OPTSTK,,
NSE,D,129340,OPTSTK,28 Jul 2026,NTPC-Jul2026-285-CE,1500,NTPC 28 JUL 285 CE,07/28/2026 14:00,285.00000,CE,5,M,OPTSTK,,
BSE,D,843836,OPTIDX,24 Sep 2026,BANKEX-24Sep2026-62900-CE,30,BANKEX 24 SEP 62900 CE,09/24/2026 14:00,62900.00000,CE,5,M,OPTIDX,,BKXOPT
NSE,D,37620,OPTSTK,25 Aug 2026,OBEROIRLTY-Aug2026-2300-PE,350,OBEROIRLTY 25 AUG 2300 PE,08/25/2026 14:00,2300.00000,PE,5,M,OPTSTK,,
NSE,D,71889,OPTIDX,29 Sep 2026,FINNIFTY-Sep2026-28000-PE,60,FINNIFTY 29 SEP 28000 PE,09/29/2026 14:00,28000.00000,PE,5,M,OPTIDX,,
NSE,D,150439,OPTSTK,28 Jul 2026,TITAN-Jul2026-4350-PE,175,TITAN 28 JUL 4350 PE,07/28/2026 14:00,4350.00000,PE,5,M,OPTSTK,,
NSE,D,53299,OPTSTK,28 Jul 2026,SOLARINDS-Jul2026-13250-CE,50,SOLARINDS 28 JUL 13250 CE,07/28/2026 14:00,13250.00000,CE,5,M,OPTSTK,,
NSE,D,116732,OPTSTK,25 Aug 2026,LAURUSLABS-Aug2026-1080-CE,850,LAURUSLABS 25 AUG 1080 CE,08/25/2026 14:00,1080.00000,CE,5,M,OPTSTK,,
NSE,D,44175,OPTSTK,25 Aug 2026,ICICIPRULI-Aug2026-655-CE,925,ICICIPRULI 25 AUG 655 CE,08/25/2026 14:00,655.00000,CE,5,M,OPTSTK,,
NSE,D,86466,OPTSTK,29 Sep 2026,AUBANK-Sep2026-1240-CE,1000,AUBANK 29 SEP 1240 CE,09/29/2026 14:00,1240.00000,CE,5,M,OPTSTK,,
NSE,D,104473,OPTSTK,25 Aug 2026,GLENMARK-Aug2026-1580-PE,375,GLENMARK 25 AUG 1580 PE,08/25/2026 14:00,1580.00000,PE,5,M,OPTSTK,,
